Entity,Code,date,deaths,fivedeath
Africa,,23-Jan-20,0,
Africa,,24-Jan-20,0,
Africa,,25-Jan-20,0,
Africa,,26-Jan-20,0,
Africa,,27-Jan-20,0,
Africa,,28-Jan-20,0,
Africa,,29-Jan-20,0,
Africa,,30-Jan-20,0,
Africa,,31-Jan-20,0,
Africa,,1-Feb-20,0,
Africa,,2-Feb-20,0,
Africa,,3-Feb-20,0,
Africa,,4-Feb-20,0,
Africa,,5-Feb-20,0,
Africa,,6-Feb-20,0,
Africa,,7-Feb-20,0,
Africa,,8-Feb-20,0,
Africa,,9-Feb-20,0,
Africa,,10-Feb-20,0,
Africa,,11-Feb-20,0,
Africa,,12-Feb-20,0,
Africa,,13-Feb-20,0,
Africa,,14-Feb-20,0,
Africa,,15-Feb-20,0,
Africa,,16-Feb-20,0,
Africa,,17-Feb-20,0,
Africa,,18-Feb-20,0,
Africa,,19-Feb-20,0,
Africa,,20-Feb-20,0,
Africa,,21-Feb-20,0,
Africa,,22-Feb-20,0,
Africa,,23-Feb-20,0,
Africa,,24-Feb-20,0,
Africa,,25-Feb-20,0,
Africa,,26-Feb-20,0,
Africa,,27-Feb-20,0,
Africa,,28-Feb-20,0,
Africa,,29-Feb-20,0,
Africa,,1-Mar-20,0,
Africa,,2-Mar-20,0,
Africa,,3-Mar-20,0,
Africa,,4-Mar-20,0,
Africa,,5-Mar-20,0,
Africa,,6-Mar-20,0,
Africa,,7-Mar-20,0,
Africa,,8-Mar-20,0,
Africa,,9-Mar-20,1,
Africa,,10-Mar-20,1,
Africa,,11-Mar-20,1,
Africa,,12-Mar-20,2,
Africa,,13-Mar-20,4,
Africa,,14-Mar-20,5,0
Africa,,15-Mar-20,6,1
Africa,,16-Mar-20,8,2
Africa,,17-Mar-20,8,3
Africa,,18-Mar-20,12,4
Africa,,19-Mar-20,16,5
Africa,,20-Mar-20,17,6
Africa,,21-Mar-20,24,7
Africa,,22-Mar-20,35,8
Africa,,23-Mar-20,44,9
Africa,,24-Mar-20,52,10
Africa,,25-Mar-20,64,11
Africa,,26-Mar-20,72,12
Africa,,27-Mar-20,84,13
Africa,,28-Mar-20,103,14
Africa,,29-Mar-20,124,15
Africa,,30-Mar-20,143,16
Africa,,31-Mar-20,166,17
Africa,,1-Apr-20,189,18
Africa,,2-Apr-20,224,19
Africa,,3-Apr-20,256,20
Africa,,4-Apr-20,305,21
Africa,,5-Apr-20,379,22
Africa,,6-Apr-20,434,23
Africa,,7-Apr-20,477,24
Africa,,8-Apr-20,522,25
Africa,,9-Apr-20,573,26
Africa,,10-Apr-20,630,27
Africa,,11-Apr-20,691,28
Africa,,12-Apr-20,743,29
Africa,,13-Apr-20,789,30
Africa,,14-Apr-20,835,31
Africa,,15-Apr-20,876,32
Africa,,16-Apr-20,911,33
Africa,,17-Apr-20,965,34
Africa,,18-Apr-20,1016,35
Africa,,19-Apr-20,1057,36
Africa,,20-Apr-20,1120,37
Africa,,21-Apr-20,1155,38
Africa,,22-Apr-20,1189,39
Albania,ALB,9-Mar-20,0,
Albania,ALB,10-Mar-20,0,
Albania,ALB,11-Mar-20,0,
Albania,ALB,12-Mar-20,1,
Albania,ALB,13-Mar-20,1,
Albania,ALB,14-Mar-20,1,
Albania,ALB,15-Mar-20,1,
Albania,ALB,16-Mar-20,1,
Albania,ALB,17-Mar-20,1,
Albania,ALB,18-Mar-20,1,
Albania,ALB,19-Mar-20,2,
Albania,ALB,20-Mar-20,2,
Albania,ALB,21-Mar-20,2,
Albania,ALB,22-Mar-20,2,
Albania,ALB,23-Mar-20,2,
Albania,ALB,24-Mar-20,4,
Albania,ALB,25-Mar-20,5,0
Albania,ALB,26-Mar-20,5,1
Albania,ALB,27-Mar-20,6,2
Albania,ALB,28-Mar-20,9,3
Albania,ALB,29-Mar-20,10,4
Albania,ALB,30-Mar-20,10,5
Albania,ALB,31-Mar-20,12,6
Albania,ALB,1-Apr-20,15,7
Albania,ALB,2-Apr-20,15,8
Albania,ALB,3-Apr-20,16,9
Albania,ALB,4-Apr-20,17,10
Albania,ALB,5-Apr-20,19,11
Albania,ALB,6-Apr-20,21,12
Albania,ALB,7-Apr-20,22,13
Albania,ALB,8-Apr-20,22,14
Albania,ALB,9-Apr-20,22,15
Albania,ALB,10-Apr-20,23,16
Albania,ALB,11-Apr-20,23,17
Albania,ALB,12-Apr-20,23,18
Albania,ALB,13-Apr-20,23,19
Albania,ALB,14-Apr-20,23,20
Albania,ALB,15-Apr-20,24,21
Albania,ALB,16-Apr-20,25,22
Albania,ALB,17-Apr-20,26,23
Albania,ALB,18-Apr-20,26,24
Albania,ALB,19-Apr-20,26,25
Albania,ALB,20-Apr-20,26,26
Albania,ALB,21-Apr-20,26,27
Albania,ALB,22-Apr-20,26,28
Algeria,DZA,31-Dec-19,0,
Algeria,DZA,1-Jan-20,0,
Algeria,DZA,2-Jan-20,0,
Algeria,DZA,3-Jan-20,0,
Algeria,DZA,4-Jan-20,0,
Algeria,DZA,5-Jan-20,0,
Algeria,DZA,6-Jan-20,0,
Algeria,DZA,7-Jan-20,0,
Algeria,DZA,8-Jan-20,0,
Algeria,DZA,9-Jan-20,0,
Algeria,DZA,10-Jan-20,0,
Algeria,DZA,11-Jan-20,0,
Algeria,DZA,12-Jan-20,0,
Algeria,DZA,13-Jan-20,0,
Algeria,DZA,14-Jan-20,0,
Algeria,DZA,15-Jan-20,0,
Algeria,DZA,16-Jan-20,0,
Algeria,DZA,17-Jan-20,0,
Algeria,DZA,18-Jan-20,0,
Algeria,DZA,19-Jan-20,0,
Algeria,DZA,20-Jan-20,0,
Algeria,DZA,21-Jan-20,0,
Algeria,DZA,22-Jan-20,0,
Algeria,DZA,23-Jan-20,0,
Algeria,DZA,24-Jan-20,0,
Algeria,DZA,25-Jan-20,0,
Algeria,DZA,26-Jan-20,0,
Algeria,DZA,27-Jan-20,0,
Algeria,DZA,28-Jan-20,0,
Algeria,DZA,29-Jan-20,0,
Algeria,DZA,30-Jan-20,0,
Algeria,DZA,31-Jan-20,0,
Algeria,DZA,1-Feb-20,0,
Algeria,DZA,2-Feb-20,0,
Algeria,DZA,3-Feb-20,0,
Algeria,DZA,4-Feb-20,0,
Algeria,DZA,5-Feb-20,0,
Algeria,DZA,6-Feb-20,0,
Algeria,DZA,7-Feb-20,0,
Algeria,DZA,8-Feb-20,0,
Algeria,DZA,9-Feb-20,0,
Algeria,DZA,10-Feb-20,0,
Algeria,DZA,11-Feb-20,0,
Algeria,DZA,12-Feb-20,0,
Algeria,DZA,13-Feb-20,0,
Algeria,DZA,14-Feb-20,0,
Algeria,DZA,15-Feb-20,0,
Algeria,DZA,16-Feb-20,0,
Algeria,DZA,17-Feb-20,0,
Algeria,DZA,18-Feb-20,0,
Algeria,DZA,19-Feb-20,0,
Algeria,DZA,20-Feb-20,0,
Algeria,DZA,21-Feb-20,0,
Algeria,DZA,22-Feb-20,0,
Algeria,DZA,23-Feb-20,0,
Algeria,DZA,24-Feb-20,0,
Algeria,DZA,25-Feb-20,0,
Algeria,DZA,26-Feb-20,0,
Algeria,DZA,27-Feb-20,0,
Algeria,DZA,28-Feb-20,0,
Algeria,DZA,29-Feb-20,0,
Algeria,DZA,1-Mar-20,0,
Algeria,DZA,2-Mar-20,0,
Algeria,DZA,4-Mar-20,0,
Algeria,DZA,5-Mar-20,0,
Algeria,DZA,6-Mar-20,0,
Algeria,DZA,9-Mar-20,0,
Algeria,DZA,12-Mar-20,0,
Algeria,DZA,13-Mar-20,1,
Algeria,DZA,14-Mar-20,2,
Algeria,DZA,15-Mar-20,2,
Algeria,DZA,16-Mar-20,4,
Algeria,DZA,17-Mar-20,4,
Algeria,DZA,18-Mar-20,5,0
Algeria,DZA,19-Mar-20,6,1
Algeria,DZA,20-Mar-20,7,2
Algeria,DZA,21-Mar-20,10,3
Algeria,DZA,22-Mar-20,15,4
Algeria,DZA,23-Mar-20,17,5
Algeria,DZA,24-Mar-20,17,6
Algeria,DZA,25-Mar-20,19,7
Algeria,DZA,26-Mar-20,21,8
Algeria,DZA,27-Mar-20,25,9
Algeria,DZA,28-Mar-20,26,10
Algeria,DZA,29-Mar-20,29,11
Algeria,DZA,30-Mar-20,31,12
Algeria,DZA,31-Mar-20,35,13
Algeria,DZA,1-Apr-20,44,14
Algeria,DZA,2-Apr-20,58,15
Algeria,DZA,3-Apr-20,63,16
Algeria,DZA,4-Apr-20,105,17
Algeria,DZA,5-Apr-20,130,18
Algeria,DZA,6-Apr-20,152,19
Algeria,DZA,7-Apr-20,173,20
Algeria,DZA,8-Apr-20,193,21
Algeria,DZA,9-Apr-20,205,22
Algeria,DZA,10-Apr-20,235,23
Algeria,DZA,11-Apr-20,256,24
Algeria,DZA,12-Apr-20,275,25
Algeria,DZA,13-Apr-20,293,26
Algeria,DZA,14-Apr-20,313,27
Algeria,DZA,15-Apr-20,325,28
Algeria,DZA,16-Apr-20,336,29
Algeria,DZA,17-Apr-20,348,30
Algeria,DZA,18-Apr-20,364,31
Algeria,DZA,19-Apr-20,367,32
Algeria,DZA,20-Apr-20,375,33
Algeria,DZA,21-Apr-20,384,34
Algeria,DZA,22-Apr-20,392,35
Andorra,AND,3-Mar-20,0,
Andorra,AND,14-Mar-20,0,
Andorra,AND,16-Mar-20,0,
Andorra,AND,17-Mar-20,0,
Andorra,AND,18-Mar-20,0,
Andorra,AND,19-Mar-20,0,
Andorra,AND,20-Mar-20,0,
Andorra,AND,21-Mar-20,0,
Andorra,AND,22-Mar-20,0,
Andorra,AND,23-Mar-20,0,
Andorra,AND,24-Mar-20,0,
Andorra,AND,25-Mar-20,0,
Andorra,AND,26-Mar-20,0,
Andorra,AND,27-Mar-20,3,
Andorra,AND,28-Mar-20,3,
Andorra,AND,29-Mar-20,4,
Andorra,AND,30-Mar-20,6,0
Andorra,AND,31-Mar-20,8,1
Andorra,AND,1-Apr-20,12,2
Andorra,AND,2-Apr-20,14,3
Andorra,AND,3-Apr-20,15,4
Andorra,AND,4-Apr-20,16,5
Andorra,AND,5-Apr-20,17,6
Andorra,AND,6-Apr-20,18,7
Andorra,AND,7-Apr-20,21,8
Andorra,AND,8-Apr-20,22,9
Andorra,AND,9-Apr-20,23,10
Andorra,AND,10-Apr-20,25,11
Andorra,AND,11-Apr-20,26,12
Andorra,AND,12-Apr-20,28,13
Andorra,AND,13-Apr-20,29,14
Andorra,AND,14-Apr-20,29,15
Andorra,AND,15-Apr-20,31,16
Andorra,AND,16-Apr-20,33,17
Andorra,AND,17-Apr-20,33,18
Andorra,AND,18-Apr-20,35,19
Andorra,AND,19-Apr-20,35,20
Andorra,AND,20-Apr-20,36,21
Andorra,AND,21-Apr-20,36,22
Andorra,AND,22-Apr-20,37,23
Angola,AGO,22-Mar-20,0,
Angola,AGO,23-Mar-20,0,
Angola,AGO,24-Mar-20,0,
Angola,AGO,25-Mar-20,0,
Angola,AGO,26-Mar-20,0,
Angola,AGO,27-Mar-20,0,
Angola,AGO,28-Mar-20,0,
Angola,AGO,29-Mar-20,0,
Angola,AGO,30-Mar-20,2,
Angola,AGO,31-Mar-20,2,
Angola,AGO,1-Apr-20,2,
Angola,AGO,2-Apr-20,2,
Angola,AGO,3-Apr-20,2,
Angola,AGO,4-Apr-20,2,
Angola,AGO,5-Apr-20,2,
Angola,AGO,6-Apr-20,2,
Angola,AGO,7-Apr-20,2,
Angola,AGO,8-Apr-20,2,
Angola,AGO,9-Apr-20,2,
Angola,AGO,10-Apr-20,2,
Angola,AGO,11-Apr-20,2,
Angola,AGO,12-Apr-20,2,
Angola,AGO,13-Apr-20,2,
Angola,AGO,14-Apr-20,2,
Angola,AGO,15-Apr-20,2,
Angola,AGO,16-Apr-20,2,
Angola,AGO,17-Apr-20,2,
Angola,AGO,18-Apr-20,2,
Angola,AGO,19-Apr-20,2,
Angola,AGO,20-Apr-20,2,
Angola,AGO,21-Apr-20,2,
Angola,AGO,22-Apr-20,2,
Anguilla,AIA,27-Mar-20,0,
Anguilla,AIA,28-Mar-20,0,
Anguilla,AIA,29-Mar-20,0,
Anguilla,AIA,30-Mar-20,0,
Anguilla,AIA,31-Mar-20,0,
Anguilla,AIA,1-Apr-20,0,
Anguilla,AIA,2-Apr-20,0,
Anguilla,AIA,3-Apr-20,0,
Anguilla,AIA,4-Apr-20,0,
Anguilla,AIA,5-Apr-20,0,
Anguilla,AIA,6-Apr-20,0,
Anguilla,AIA,7-Apr-20,0,
Anguilla,AIA,8-Apr-20,0,
Anguilla,AIA,9-Apr-20,0,
Anguilla,AIA,10-Apr-20,0,
Anguilla,AIA,11-Apr-20,0,
Anguilla,AIA,12-Apr-20,0,
Anguilla,AIA,13-Apr-20,0,
Anguilla,AIA,14-Apr-20,0,
Anguilla,AIA,15-Apr-20,0,
Anguilla,AIA,16-Apr-20,0,
Anguilla,AIA,17-Apr-20,0,
Anguilla,AIA,18-Apr-20,0,
Anguilla,AIA,19-Apr-20,0,
Anguilla,AIA,20-Apr-20,0,
Anguilla,AIA,21-Apr-20,0,
Anguilla,AIA,22-Apr-20,0,
Antigua and Barbuda,ATG,15-Mar-20,0,
Antigua and Barbuda,ATG,21-Mar-20,0,
Antigua and Barbuda,ATG,22-Mar-20,0,
Antigua and Barbuda,ATG,23-Mar-20,0,
Antigua and Barbuda,ATG,24-Mar-20,0,
Antigua and Barbuda,ATG,25-Mar-20,0,
Antigua and Barbuda,ATG,26-Mar-20,0,
Antigua and Barbuda,ATG,27-Mar-20,0,
Antigua and Barbuda,ATG,28-Mar-20,0,
Antigua and Barbuda,ATG,29-Mar-20,0,
Antigua and Barbuda,ATG,30-Mar-20,0,
Antigua and Barbuda,ATG,31-Mar-20,0,
Antigua and Barbuda,ATG,1-Apr-20,0,
Antigua and Barbuda,ATG,2-Apr-20,0,
Antigua and Barbuda,ATG,3-Apr-20,0,
Antigua and Barbuda,ATG,4-Apr-20,0,
Antigua and Barbuda,ATG,5-Apr-20,0,
Antigua and Barbuda,ATG,6-Apr-20,0,
Antigua and Barbuda,ATG,7-Apr-20,0,
Antigua and Barbuda,ATG,8-Apr-20,0,
Antigua and Barbuda,ATG,9-Apr-20,0,
Antigua and Barbuda,ATG,10-Apr-20,2,
Antigua and Barbuda,ATG,11-Apr-20,2,
Antigua and Barbuda,ATG,12-Apr-20,2,
Antigua and Barbuda,ATG,13-Apr-20,2,
Antigua and Barbuda,ATG,14-Apr-20,2,
Antigua and Barbuda,ATG,15-Apr-20,2,
Antigua and Barbuda,ATG,16-Apr-20,2,
Antigua and Barbuda,ATG,17-Apr-20,2,
Antigua and Barbuda,ATG,18-Apr-20,2,
Antigua and Barbuda,ATG,19-Apr-20,2,
Antigua and Barbuda,ATG,20-Apr-20,2,
Antigua and Barbuda,ATG,21-Apr-20,3,
Antigua and Barbuda,ATG,22-Apr-20,3,
Argentina,ARG,4-Mar-20,0,
Argentina,ARG,6-Mar-20,0,
Argentina,ARG,7-Mar-20,0,
Argentina,ARG,8-Mar-20,1,
Argentina,ARG,9-Mar-20,1,
Argentina,ARG,11-Mar-20,1,
Argentina,ARG,13-Mar-20,1,
Argentina,ARG,14-Mar-20,2,
Argentina,ARG,15-Mar-20,2,
Argentina,ARG,16-Mar-20,2,
Argentina,ARG,17-Mar-20,2,
Argentina,ARG,18-Mar-20,2,
Argentina,ARG,19-Mar-20,2,
Argentina,ARG,20-Mar-20,3,
Argentina,ARG,21-Mar-20,3,
Argentina,ARG,22-Mar-20,4,
Argentina,ARG,23-Mar-20,4,
Argentina,ARG,24-Mar-20,4,
Argentina,ARG,25-Mar-20,6,0
Argentina,ARG,26-Mar-20,8,1
Argentina,ARG,27-Mar-20,12,2
Argentina,ARG,28-Mar-20,17,3
Argentina,ARG,29-Mar-20,19,4
Argentina,ARG,30-Mar-20,20,5
Argentina,ARG,31-Mar-20,24,6
Argentina,ARG,1-Apr-20,24,7
Argentina,ARG,2-Apr-20,31,8
Argentina,ARG,3-Apr-20,34,9
Argentina,ARG,4-Apr-20,37,10
Argentina,ARG,5-Apr-20,43,11
Argentina,ARG,6-Apr-20,46,12
Argentina,ARG,7-Apr-20,53,13
Argentina,ARG,8-Apr-20,60,14
Argentina,ARG,9-Apr-20,65,15
Argentina,ARG,10-Apr-20,79,16
Argentina,ARG,11-Apr-20,82,17
Argentina,ARG,12-Apr-20,89,18
Argentina,ARG,13-Apr-20,95,19
Argentina,ARG,14-Apr-20,98,20
Argentina,ARG,15-Apr-20,105,21
Argentina,ARG,16-Apr-20,109,22
Argentina,ARG,17-Apr-20,115,23
Argentina,ARG,18-Apr-20,122,24
Argentina,ARG,19-Apr-20,132,25
Argentina,ARG,20-Apr-20,134,26
Argentina,ARG,21-Apr-20,142,27
Argentina,ARG,22-Apr-20,151,28
Armenia,ARM,31-Dec-19,0,
Armenia,ARM,1-Jan-20,0,
Armenia,ARM,2-Jan-20,0,
Armenia,ARM,3-Jan-20,0,
Armenia,ARM,4-Jan-20,0,
Armenia,ARM,5-Jan-20,0,
Armenia,ARM,6-Jan-20,0,
Armenia,ARM,7-Jan-20,0,
Armenia,ARM,8-Jan-20,0,
Armenia,ARM,9-Jan-20,0,
Armenia,ARM,10-Jan-20,0,
Armenia,ARM,11-Jan-20,0,
Armenia,ARM,12-Jan-20,0,
Armenia,ARM,13-Jan-20,0,
Armenia,ARM,14-Jan-20,0,
Armenia,ARM,15-Jan-20,0,
Armenia,ARM,16-Jan-20,0,
Armenia,ARM,17-Jan-20,0,
Armenia,ARM,18-Jan-20,0,
Armenia,ARM,19-Jan-20,0,
Armenia,ARM,20-Jan-20,0,
Armenia,ARM,21-Jan-20,0,
Armenia,ARM,22-Jan-20,0,
Armenia,ARM,23-Jan-20,0,
Armenia,ARM,24-Jan-20,0,
Armenia,ARM,25-Jan-20,0,
Armenia,ARM,26-Jan-20,0,
Armenia,ARM,27-Jan-20,0,
Armenia,ARM,28-Jan-20,0,
Armenia,ARM,29-Jan-20,0,
Armenia,ARM,30-Jan-20,0,
Armenia,ARM,31-Jan-20,0,
Armenia,ARM,1-Feb-20,0,
Armenia,ARM,2-Feb-20,0,
Armenia,ARM,3-Feb-20,0,
Armenia,ARM,4-Feb-20,0,
Armenia,ARM,5-Feb-20,0,
Armenia,ARM,6-Feb-20,0,
Armenia,ARM,7-Feb-20,0,
Armenia,ARM,8-Feb-20,0,
Armenia,ARM,9-Feb-20,0,
Armenia,ARM,10-Feb-20,0,
Armenia,ARM,11-Feb-20,0,
Armenia,ARM,12-Feb-20,0,
Armenia,ARM,13-Feb-20,0,
Armenia,ARM,14-Feb-20,0,
Armenia,ARM,15-Feb-20,0,
Armenia,ARM,16-Feb-20,0,
Armenia,ARM,17-Feb-20,0,
Armenia,ARM,18-Feb-20,0,
Armenia,ARM,19-Feb-20,0,
Armenia,ARM,20-Feb-20,0,
Armenia,ARM,21-Feb-20,0,
Armenia,ARM,22-Feb-20,0,
Armenia,ARM,23-Feb-20,0,
Armenia,ARM,24-Feb-20,0,
Armenia,ARM,25-Feb-20,0,
Armenia,ARM,26-Feb-20,0,
Armenia,ARM,27-Feb-20,0,
Armenia,ARM,28-Feb-20,0,
Armenia,ARM,29-Feb-20,0,
Armenia,ARM,1-Mar-20,0,
Armenia,ARM,2-Mar-20,0,
Armenia,ARM,12-Mar-20,0,
Armenia,ARM,13-Mar-20,0,
Armenia,ARM,14-Mar-20,0,
Armenia,ARM,15-Mar-20,0,
Armenia,ARM,16-Mar-20,0,
Armenia,ARM,17-Mar-20,0,
Armenia,ARM,18-Mar-20,0,
Armenia,ARM,19-Mar-20,0,
Armenia,ARM,20-Mar-20,0,
Armenia,ARM,21-Mar-20,0,
Armenia,ARM,22-Mar-20,0,
Armenia,ARM,23-Mar-20,0,
Armenia,ARM,24-Mar-20,0,
Armenia,ARM,25-Mar-20,0,
Armenia,ARM,26-Mar-20,0,
Armenia,ARM,27-Mar-20,1,
Armenia,ARM,28-Mar-20,1,
Armenia,ARM,29-Mar-20,3,
Armenia,ARM,30-Mar-20,3,
Armenia,ARM,31-Mar-20,3,
Armenia,ARM,1-Apr-20,3,
Armenia,ARM,2-Apr-20,3,
Armenia,ARM,3-Apr-20,4,
Armenia,ARM,4-Apr-20,7,0
Armenia,ARM,5-Apr-20,7,1
Armenia,ARM,6-Apr-20,7,2
Armenia,ARM,7-Apr-20,8,3
Armenia,ARM,8-Apr-20,8,4
Armenia,ARM,9-Apr-20,9,5
Armenia,ARM,10-Apr-20,10,6
Armenia,ARM,11-Apr-20,11,7
Armenia,ARM,12-Apr-20,13,8
Armenia,ARM,13-Apr-20,13,9
Armenia,ARM,14-Apr-20,14,10
Armenia,ARM,15-Apr-20,17,11
Armenia,ARM,16-Apr-20,18,12
Armenia,ARM,17-Apr-20,19,13
Armenia,ARM,18-Apr-20,20,14
Armenia,ARM,19-Apr-20,20,15
Armenia,ARM,20-Apr-20,22,16
Armenia,ARM,21-Apr-20,24,17
Armenia,ARM,22-Apr-20,24,18
Aruba,ABW,13-Mar-20,0,
Aruba,ABW,20-Mar-20,0,
Aruba,ABW,24-Mar-20,0,
Aruba,ABW,25-Mar-20,0,
Aruba,ABW,26-Mar-20,0,
Aruba,ABW,27-Mar-20,0,
Aruba,ABW,28-Mar-20,0,
Aruba,ABW,29-Mar-20,0,
Aruba,ABW,30-Mar-20,0,
Aruba,ABW,1-Apr-20,0,
Aruba,ABW,2-Apr-20,0,
Aruba,ABW,3-Apr-20,0,
Aruba,ABW,4-Apr-20,0,
Aruba,ABW,5-Apr-20,0,
Aruba,ABW,6-Apr-20,0,
Aruba,ABW,7-Apr-20,0,
Aruba,ABW,8-Apr-20,0,
Aruba,ABW,9-Apr-20,0,
Aruba,ABW,10-Apr-20,0,
Aruba,ABW,11-Apr-20,0,
Aruba,ABW,12-Apr-20,0,
Aruba,ABW,13-Apr-20,0,
Aruba,ABW,14-Apr-20,0,
Aruba,ABW,15-Apr-20,0,
Aruba,ABW,16-Apr-20,1,
Aruba,ABW,17-Apr-20,1,
Aruba,ABW,18-Apr-20,2,
Aruba,ABW,19-Apr-20,2,
Aruba,ABW,20-Apr-20,2,
Aruba,ABW,21-Apr-20,2,
Aruba,ABW,22-Apr-20,2,
Asia,,31-Dec-19,0,
Asia,,1-Jan-20,0,
Asia,,2-Jan-20,0,
Asia,,3-Jan-20,0,
Asia,,4-Jan-20,0,
Asia,,5-Jan-20,0,
Asia,,6-Jan-20,0,
Asia,,7-Jan-20,0,
